Date,Name,Year,Letterboxd URI
2025-04-07,Saint-Narcisse,2020,https://boxd.it/mt8m
2025-04-08,Fireworks,2023,https://boxd.it/xG2o
2025-04-29,And Then We Danced,2019,https://boxd.it/m0e6
2025-05-12,Mango Yellow,2002,https://boxd.it/2O12
2025-05-13,The Hand of God,2021,https://boxd.it/r5uI
2025-05-13,"I Travel Because I Have to, I Come Back Because I Love You",2009,https://boxd.it/369y
2025-05-15,My Beautiful Laundrette,1985,https://boxd.it/1UhI
2025-05-18,The Passion According to G.H.,2023,https://boxd.it/kKYq
2025-05-18,Night Flight,2014,https://boxd.it/7y6g
2025-05-18,Lolita,1997,https://boxd.it/1XR0
2025-05-18,Lolita,1962,https://boxd.it/29Ag
2025-05-31,The 400 Blows,1959,https://boxd.it/2b1C
2025-05-31,Stranger by the Lake,2013,https://boxd.it/5Fji
2025-06-02,Dead Poets Society,1989,https://boxd.it/2aSg
2025-06-03,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2025-06-03,Constantine 2,,https://boxd.it/kWpi
2025-06-06,Pink Narcissus,1971,https://boxd.it/WKU
2025-06-11,The Living End,1992,https://boxd.it/1fRA
2025-06-16,Tropicália,2012,https://boxd.it/56Gm
2025-06-16,Os Doces Bárbaros,1977,https://boxd.it/afJE
2025-06-16,Maria Bethânia: Pedrinha de Aruanda,2007,https://boxd.it/h5lw
2025-06-16,Abraçar e Agradecer,2016,https://boxd.it/hOzI
2025-07-11,Tough and Tender,1984,https://boxd.it/hQK4
2025-08-04,Henry Gamble's Birthday Party,2015,https://boxd.it/bioQ
2025-08-04,Macunaima,1969,https://boxd.it/2dYw
2025-08-04,Bittersweet Rain,2022,https://boxd.it/CqBs
2025-08-07,Bacurau no Mapa,2019,https://boxd.it/pqpq
2025-08-08,ABC of a Strike,1990,https://boxd.it/7oi2
2025-08-09,Manifesto,2015,https://boxd.it/diI6
2025-08-10,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2025-08-12,The Truman Show,1998,https://boxd.it/18U8
2025-08-12,Vertigo,1958,https://boxd.it/2apI
2025-08-12,Eyes Wide Shut,1999,https://boxd.it/2axs
2025-08-12,A Clockwork Orange,1971,https://boxd.it/2aVE
2025-08-12,The Gospel According to St. Matthew,1964,https://boxd.it/1y7c
2025-08-12,120 Days of Sodom,1995,https://boxd.it/eUOS
2025-08-16,"Black God, White Devil",1964,https://boxd.it/2fmY
2025-08-16,This Special Friendship,1964,https://boxd.it/qBG
2025-08-17,Neighboring Sounds,2012,https://boxd.it/3nzS
2025-08-20,The King's Speech,2010,https://boxd.it/dX0
2025-09-02,In the Hand of Dante,2025,https://boxd.it/Czmc
2025-09-02,We Need to Talk About Kevin,2011,https://boxd.it/2pTS
2025-09-02,God Is Brazilian,2003,https://boxd.it/1e9M
2025-09-02,The Empire of Desire,1981,https://boxd.it/55bW
2025-09-05,Marighella,2019,https://boxd.it/i3RC
2025-09-05,The Dare,1965,https://boxd.it/5S7Y
2025-09-05,Carandiru,2003,https://boxd.it/209g
2025-09-05,A Night in 67,2010,https://boxd.it/2ghU
2025-09-05,Citizenfour,2014,https://boxd.it/9eSe
2025-09-05,Pearl,2022,https://boxd.it/zPbe
2025-09-05,Summer of 85,2020,https://boxd.it/oxQ2
2025-09-05,Men of Hard Skin,2019,https://boxd.it/l9d0
2025-09-05,Tonio Kröger,1964,https://boxd.it/680E
2025-09-05,Sócrates,2018,https://boxd.it/jRw2
2025-09-05,Consequences,2018,https://boxd.it/jFd8
2025-09-11,The Ballroom,2007,https://boxd.it/2Ble
2025-09-12,Copacabana Mon Amour,1970,https://boxd.it/5Oh6
2025-09-12,"Ó Paí, Ó: Look at This",2007,https://boxd.it/17ru
2025-09-12,The Prince,2019,https://boxd.it/l6Vo
2025-09-30,Fair Haven,2016,https://boxd.it/dW7a
2025-09-30,Dune,2021,https://boxd.it/fA7G
2025-09-30,Dune: Part Two,2024,https://boxd.it/pUfA
2025-09-30,The Two Popes,2019,https://boxd.it/k8Xk
2025-09-30,Ponyboi,2024,https://boxd.it/DOOi
2025-09-30,Mary & George,2024,https://boxd.it/LLOg
2025-09-30,Paris Is Burning,1990,https://boxd.it/1jzg
2025-09-30,Playing Doctor,2014,https://boxd.it/auMI
2025-10-06,Sebastiane,1976,https://boxd.it/Xog
2025-10-09,Nowhere,1997,https://boxd.it/286E
2025-10-10,Before the Fall,2004,https://boxd.it/1YNo
2025-10-10,Midsommar,2019,https://boxd.it/jhxe
2025-10-14,Carnival Is Over,2024,https://boxd.it/GbAC
2025-10-14,A Wolf at the Door,2013,https://boxd.it/6nHy
2025-10-16,Loving Vincent: The Impossible Dream,2019,https://boxd.it/lBPQ
2025-10-16,Edward II,1991,https://boxd.it/TVA
2025-10-17,Maurice,1987,https://boxd.it/1tZy
2025-10-17,Respect,2021,https://boxd.it/lPDE
2025-10-17,Rocketman,2019,https://boxd.it/iehK
2025-10-21,Alvorada,2021,https://boxd.it/uhY2
2025-10-21,The Trial,2018,https://boxd.it/i5aA
2025-10-21,Lower House,2018,https://boxd.it/jMAy
2025-10-24,Wilde,1997,https://boxd.it/1U1A
2025-10-24,Total Eclipse,1995,https://boxd.it/19Ii
2025-10-24,Matthias & Maxime,2019,https://boxd.it/iOQ2
2025-10-27,Love Songs,2007,https://boxd.it/1O4I
2025-10-27,Red Was the Color of Their Lips,1983,https://boxd.it/umN4
2025-10-27,Men Are from Mars... And That's Where I'm Going!,2014,https://boxd.it/6JbY
2025-10-27,Manual for Love Stories,2004,https://boxd.it/K9C
2025-10-27,My Name Ain't Johnny,2008,https://boxd.it/1IMu
2025-10-28,Fake Blonde,2007,https://boxd.it/5eHM
2025-10-28,The Kings of Summer,2013,https://boxd.it/4V3e
2025-10-30,Shutterspeed,2025,https://boxd.it/R20W
2025-10-31,Two Summers,2002,https://boxd.it/2ufo
2025-10-31,Unicorn,2017,https://boxd.it/heG4
2025-11-01,Mona Lisa Smile,2003,https://boxd.it/1T0Q
2025-11-01,Dancer in the Dark,2000,https://boxd.it/71E
2025-11-07,The Basketball Diaries,1995,https://boxd.it/1WaO
2025-11-07,Dreams,1990,https://boxd.it/1ROu
2025-11-16,Hamnet,2025,https://boxd.it/woVy
2025-11-16,The Great Gatsby,2013,https://boxd.it/JY
2025-11-27,Rio Babilonia,1982,https://boxd.it/4Nu2
2025-12-02,"Alleen Ik (Only me, me alone)",2022,https://boxd.it/CZPE
2025-12-03,Hereditary,2018,https://boxd.it/hNVe
2025-12-10,The Brutalist,2024,https://boxd.it/k4BO
2025-12-12,El Angel,2018,https://boxd.it/ilA0
2025-12-30,Die My Love,2025,https://boxd.it/D5cI
